id,question,A,B,C,D,answer
1851,গ্যাসের গড় গতিশক্তি কী নির্ভর করে?,তাপমাত্রার উপর,চাপের উপর,আয়তনের উপর,ঘনত্বের উপর,A
1852,তাপমাত্রা শূন্য কেলভিনে কী ঘটে?,অণুর গতি বন্ধ হয়,অণুর গতি বৃদ্ধি পায়,অণুর শক্তি বৃদ্ধি পায়,অণুর ঘনত্ব বৃদ্ধি পায়,A
1853,তড়িৎ ক্ষেত্রে আধানের সম্ভাব্য শক্তি কী?,qV,q/V,V/q,qV²,A
1854,ক্যাপাসিটরের ক্যাপাসিট্যান্স কী নির্ভর করে?,প্লেটের ক্ষেত্রফল ও দূরত্ব,প্লেটের ভর,প্লেটের ঘনত্ব,প্লেটের চাপ,A
1855,ইন্ডাকটরে প্রবাহ পরিবর্তন কী সৃষ্টি করে?,তড়িৎ প্রবর্তন,চৌম্বক প্রবর্তন,তাপ প্রবর্তন,শক্তি প্রবর্তন,A
1856,ট্রান্সফরমারে শক্তি কীভাবে স্থানান্তরিত হয়?,চৌম্বক ফ্লাক্সের মাধ্যমে,তড়িৎ ফ্লাক্সের মাধ্যমে,তাপ ফ্লাক্সের মাধ্যমে,গতি ফ্লাক্সের মাধ্যমে,A
1857,এসি জেনারেটর কী উৎপন্ন করে?,পর্যায়ক্রমিক কারেন্ট,সরাসরি কারেন্ট,স্থির কারেন্ট,অস্থির কারেন্ট,A
1858,ডিসি জেনারেটর কী উৎপন্ন করে?,সরাসরি কারেন্ট,পর্যায়ক্রমিক কারেন্ট,স্থির কারেন্ট,অস্থির কারেন্ট,A
1859,আলোর দ্বৈত প্রকৃতি কী?,তরঙ্গ ও কণা,কেবল তরঙ্গ,কেবল কণা,শক্তি ও চাপ,A
1860,ফোটনের ভর কী?,শূন্য,ধনাত্মক,ঋণাত্মক,অসীম,A
1861,ইলেকট্রনের স্পিন কী?,অভ্যন্তরীণ কৌণিক ভরবেগ,বাহ্যিক কৌণিক ভরবেগ,গতিশক্তি,সম্ভাব্য শক্তি,A
1862,পলির বর্জন নীতি কী ব্যাখ্যা করে?,ইলেকট্রনের বিন্যাস,প্রোটনের বিন্যাস,নিউট্রনের বিন্যাস,ফোটনের বিন্যাস,A
1863,কোয়ান্টাম সংখ্যার প্রকার কতটি?,চারটি,তিনটি,পাঁচটি,দুটি,A
1864,প্রিন্সিপাল কোয়ান্টাম সংখ্যা কী নির্দেশ করে?,শক্তি স্তর,স্পিন,কৌণিক ভরবেগ,চৌম্বক ক্ষেত্র,A
1865,অরবিটাল কোয়ান্টাম সংখ্যা কী নির্দেশ করে?,কক্ষপথের আকৃতি,শক্তি স্তর,স্পিন,চৌম্বক ক্ষেত্র,A
1866,চৌম্বক কোয়ান্টাম সংখ্যা কী নির্দেশ করে?,কক্ষপথের দিক,শক্তি স্তর,স্পিন,কৌণিক ভরবেগ,A
1867,স্পিন কোয়ান্টাম সংখ্যা কী নির্দেশ করে?,ইলেকট্রনের স্পিন,শক্তি স্তর,কক্ষপথের আকৃতি,চৌম্বক ক্ষেত্র,A
1868,ইলেকট্রনের কক্ষপথের সর্বোচ্চ সংখ্যা কত?,2n²,n²,2n,n,A
1869,হাইড্রোজেন পরমাণুর বর্ণালী কী নির্দেশ করে?,শক্তি স্তরের স্থানান্তর,ইলেকট্রনের গতি,প্রোটনের গতি,নিউট্রনের গতি,A
1870,লাইমান সিরিজ কোন শক্তি স্তরে স্থানান্তরিত হয়?,n=1,n=2,n=3,n=4,A
1871,বালমার সিরিজ কোন শক্তি স্তরে স্থানান্তরিত হয়?,n=2,n=1,n=3,n=4,A
1872,পাশেন সিরিজ কোন শক্তি স্তরে স্থানান্তরিত হয়?,n=3,n=1,n=2,n=4,A
1873,নিউক্লিয়ার ফিশনে কী নিয়ন্ত্রণ করে?,নিউট্রন,প্রোটন,ইলেকট্রন,ফোটন,A
1874,নিউক্লিয়ার ফিউশনে কী নিয়ন্ত্রণ করে?,হাইড্রোজেন নিউক্লিয়াস,ইলেকট্রন,প্রোটন,নিউট্রন,A
1875,রেডিওঅ্যাকটিভ ক্ষয়ের হার কী নির্ভর করে?,ক্ষয় ধ্রুবক,শক্তি ধ্রুবক,গতি ধ্রুবক,চাপ ধ্রুবক,A
1876,আইনস্টাইনের ফোটোইলেকট্রিক সমীকরণ কী?,E = hf - φ,E = hf + φ,E = h/f - φ,E = h/f + φ,A
1877,সেমিকন্ডাক্টরে ব্যান্ড গ্যাপ কী?,ব্যালেন্স ও কন্ডাকশন ব্যান্ডের শক্তির পার্থক্য,ব্যালেন্স ও কন্ডাকশন ব্যান্ডের সমষ্টি,ব্যালেন্স ব্যান্ডের শক্তি,কন্ডাকশন ব্যান্ডের শক্তি,A
1878,এনার্জি ব্যান্ড কী?,ইলেকট্রনের শক্তি স্তর,প্রোটনের শক্তি স্তর,নিউট্রনের শক্তি স্তর,ফোটনের শক্তি স্তর,A
1879,ডায়োডে ফরোয়ার্ড বায়াস কী?,ধনাত্মক টার্মিনালে p-পাশ,ধনাত্মক টার্মিনালে n-পাশ,ঋণাত্মক টার্মিনালে p-পাশ,ঋণাত্মক টার্মিনালে n-পাশ,A
1880,ট্রানজিস্টরে কমন এমিটার কনফিগারেশন কী?,ইমিটার সাধারণ টার্মিনাল,বেস সাধারণ টার্মিনাল,কালেক্টর সাধারণ টার্মিনাল,উভয় A ও B,A
1881,অপারেশনাল এমপ্লিফায়ার কী?,ভোল্টেজ পরিবর্ধক,কারেন্ট পরিবর্ধক,শক্তি পরিবর্ধক,চাপ পরিবর্ধক,A
1882,লজিক গেট কী?,ডিজিটাল সার্কিটের মৌলিক ইউনিট,এনালগ সার্কিটের ইউনিট,তড়িৎ সার্কিটের ইউনিট,চৌম্বক সার্কিটের ইউনিট,A
1883,AND গেটের আউটপুট কখন উচ্চ হয়?,সব ইনপুট উচ্চ হলে,কোনো ইনপুট উচ্চ হলে,সব ইনপুট নিম্ন হলে,কোনো ইনপুট নিম্ন হলে,A
1884,OR গেটের আউটপুট কখন উচ্চ হয়?,কোনো ইনপুট উচ্চ হলে,সব ইনপুট উচ্চ হলে,সব ইনপুট নিম্ন হলে,কোনো ইনপুট নিম্ন হলে,A
1885,NOT গেটের কাজ কী?,ইনপুটের বিপরীত আউটপুট,ইনপুটের সমান আউটপুট,ইনপুটের দ্বিগুণ আউটপুট,ইনপুটের অর্ধেক আউটপুট,A
1886,NAND গেট কী?,AND গেটের বিপরীত,OR গেটের বিপরীত,NOT গেটের বিপরীত,AND ও OR গেটের সমন্বয়,A
1887,NOR গেট কী?,OR গেটের বিপরীত,AND গেটের বিপরীত,NOT গেটের বিপরীত,OR ও AND গেটের সমন্বয়,A
1888,তরঙ্গের প্রশস্ততা কী নির্দেশ করে?,তরঙ্গের সর্বোচ্চ স্থানচ্যুতি,তরঙ্গের গতি,তরঙ্গের ফ্রিকোয়েন্সি,তরঙ্গের দৈর্ঘ্য,A
1889,ফ্রিকোয়েন্সি কীভাবে পরিমাপ করা হয়?,প্রতি সেকেন্ডে কম্পনের সংখ্যা,প্রতি মিনিটে কম্পনের সংখ্যা,প্রতি ঘণ্টায় কম্পনের সংখ্যা,প্রতি দিনে কম্পনের সংখ্যা,A
1890,তরঙ্গের গতি কী নির্ভর করে?,ফ্রিকোয়েন্সি ও তরঙ্গদৈর্ঘ্য,প্রশস্ততা ও তরঙ্গদৈর্ঘ্য,ফ্রিকোয়েন্সি ও প্রশস্ততা,মাধ্যমের তাপমাত্রা,A
1891,আলোর গতি কোন মাধ্যমে সবচেয়ে কম?,হীরা,শূন্য মাধ্যম,জল,বায়ু,A
1892,উত্তল দর্পণ কী ধরনের প্রতিবিম্ব সৃষ্টি করে?,অস্থায়ী ও সংকুচিত,বাস্তব ও বর্ধিত,বাস্তব ও সংকুচিত,অস্থায়ী ও বর্ধিত,A
1893,অবতল দর্পণ কী ধরনের প্রতিবিম্ব সৃষ্টি করতে পারে?,বাস্তব ও অস্থায়ী উভয়,শুধু বাস্তব,শুধু অস্থায়ী,কোনো প্রতিবিম্ব নয়,A
1894,তড়িৎ প্রবাহের দিক কী নির্দেশ করে?,ধনাত্মক থেকে ঋণাত্মক,ঋণাত্মক থেকে ধনাত্মক,ধনাত্মক থেকে ধনাত্মক,ঋণাত্মক থেকে ঋণাত্মক,A
1895,চৌম্বক ক্ষেত্রের তীব্রতা কীভাবে পরিমাপ করা হয়?,টেসলায়,ওয়েবারে,হেনরিতে,ফ্যারাডে,A
1896,দুটি ভেক্টর A ⃗ এবং B ⃗ -এর যোগফল তাদের পার্থক্যের উপর লম্ব। নিচের কোন বিন্যাসটি অবশ্যই সত্য?,|A ⃗ | = |B ⃗ |,A ⃗ . B ⃗ = 0,A ⃗ × B ⃗ = 0,A ⃗ = – 2B ⃗,B
1897,P ⃗ = 2i ̂ + 2j ̂ – k ̂ এবং Q ⃗ = 6i ̂ + 3j ̂ – 3k ̂ ভেক্টরদ্বয়ের উপর লম্ব দিকে একটি একক ভেক্টর কোনটি হবে?,– i ̂ – 2k ̂,– 3i ̂ – 6k ̂,–3(i ̂ – 2k ̂)/45,i ̂ + 2k ̂,C
1898,একটি 3 মাত্রার ভেক্টরকে একটি 4 মাত্রার ভেক্টরের সাথে যোগ করলে ফলিত ভেক্টরের মান নিচের কোনটি হবে না?,0,1,3,5,A
1899,a এর মান কত হলে A ⃗ = 2i ̂ + 2j ̂ – k ̂ এবং B ⃗ = ai ̂ + j ̂ ভেক্টরদ্বয় পরস্পর লম্ব হবে?,0,2-Jan,–1,2,C
1900,দুটি ভেক্টর A ⃗ = 3i ̂ – 3j ̂ এবং B ⃗ = 5i ̂ + 5k ̂ এর মধ্যেকার কোণ কত?,60°,30°,45°,90°,D
1901,"তিনটি ভেক্টর a ⃗, b ⃗ এবং c ⃗, যাদের মান যথাক্রমে 4, 3 এবং 5; যোগ করলে শূন্য হয় অর্থাৎ a ⃗ + b ⃗ + c ⃗ = 0। তাহলে |c ⃗ × (a ⃗ × b ⃗)| এর মান নির্ণয় কর।",12,60,25,15,A
1902,"ভেক্টর A ⃗, B ⃗ এবং C ⃗ এর মান যথাক্রমে 12, 5 এবং 13 এবং A ⃗ + B ⃗ = C ⃗। A ⃗ এবং B ⃗ ভেক্টরদ্বয়ের মধ্যেকার কোণের মান কত?",π/2,π/3,π/4,π/6,A
1903,একটি কণার উপর F ⃗ = (10i ̂ + 10j ̂ + 10k ̂) N বল প্রয়োগ করলে কণাটির সরণ হয় r ⃗ = (2i ̂ + 2j ̂ – 2k ̂) m। বল কর্তৃক সম্পাদিত কাজ কত হবে?,20 J,30 J,10 J,40 J,D
1904,"যদি A ⃗ = i ̂ – j ̂ + k ̂ এবং B ⃗ = i ̂ + j ̂ – k ̂ একটি সমান্তরালিকের দুটি সন্নিহিত বাহু নির্দেশ করে, তাহলে উপযুক্ত এককে সমান্তরালিকের ক্ষেত্রফল নির্ণয় কর।",2√2,2,1,√2,A
1905,j ̂.(2i ̂ – 3j ̂ + [] k ̂) এর মান কত?,2,–3,1,–2,B
1906,A ⃗ = 3i ̂ + j ̂ + 2k ̂ এবং B ⃗ = 2i ̂ – 2j ̂ + 4k ̂। দুটি ভেক্টরের উপর লম্ব ভেক্টরটি হবে:,–8i ̂ – 8j ̂ + 8k ̂,8i ̂ – 8j ̂ – 8k ̂,8i ̂ – 8j ̂ + 8k ̂,8i ̂ + 8j ̂ + 8k ̂,C
1907,এক ব্যক্তি সমতলে প্রথমে দক্ষিণ দিকে 3 m যায়। তার অতিক্রান্ত দূরত্ব ও সরণের পার্থক্য কত m?,2,4,1,5,D
1908,XY সমতলে 6i ̂ + 8j ̂ – 5k ̂ ভেক্টরটির দৈর্ঘ্য কত একক?,6,10,0,5√5,B
1909,দুটি সমান্তরাল ভেক্টর একটি বিন্দুতে ক্রিয়াশীল। তাদের ফলিতের মান কোনটি হবে?,120°,180°,90°,0°,D
1910,"দুটি বলের ফলিতের মান 40 N, বল দুটির মধ্যে ছোট বলটির মান 30 N এবং এটি ফলিত বলের লম্ব দিকে ক্রিয়া করে। বড় বলটির মান কত?",40 N,45 N,50 N,60 N,C
1911,10 N মানের একটি বল অপর একটি অজানা বলের সাথে 120° কোণে আনত। বল দুটির ফলিত অজানা বলের সাথে 90° কোণে অবস্থিত। অজানা বলটির মান:,8 N,7 N,6 N,5 N,C
1912,নিচের কোনটি ভেক্টর রাশি?,আয়তন,চাপ,ক্ষেত্রফল,কাজ,C
1913,নিচের কোনটি ভেক্টর রাশি?,আয়তন,বৈদ্যুতিক বিভব,স্থানচ্যুতি পরিমাপক,বৈদ্যুতিক প্রবাহ,C
1914,নিচের কোনটি বিন্যাস সূত্র?,(P ⃗ + Q ⃗ + R ⃗) = P ⃗ + (Q ⃗ + R ⃗),m(P ⃗ + Q ⃗) = mP ⃗ + mQ ⃗,P ⃗ + Q ⃗ = Q ⃗ + P ⃗,কোনটিই নয়,D
1915,একটি বস্তুকে 50 N বল দিয়ে পশ্চিম দিকে এবং 20 N বল দিয়ে উত্তর দিকে টানা হচ্ছে। ফলিত বলের মান কত হবে?,53.85 N,63.85 N,43.85 N,50.85 N,A
1916,উত্তর ও পূর্ব দিকের মধ্যে বায়ু প্রবাহিত হচ্ছে। বায়ুর বেগের উত্তর ও পূর্ব দিকের উপাংশ যথাক্রমে 5 kmh–1 এবং 12 kmh–1 হলে ফলিত বেগ কত হবে?,60 kmh–1,7 kmh–1,17 kmh–1,13 kmh–1,D
1917,10 N মানের একটি বল X অক্ষে দিকে ক্রিয়া করলে Y অক্ষে দিকে এর উপাংশ হবে:,10 N,5 N,8.66 N,0 N,D
1918,স্রোত না থাকলে একজন সাঁতারু ঘন্টায় 8 কি.মি. বেগে সাঁতার কাটে। ঘন্টায় 4 কি.মি. বেগে প্রবাহিত নদীর বিপরীতে বিন্দুতে পৌঁছাতে সাঁতারুকে কোন দিকে ইশানা দিতে হবে?,90°,120°,150°,60°,C
1919,3i ̂ – 4j ̂ – 12k ̂ ভেক্টরটির মান কত?,8,11,13,18,C
1920,বল প্রয়োগে সর্বোচ্চ কাজ হবে যখন বল সরণের সাথে ক্রিয়া করে:,45° কোণে,30° কোণে,লম্ব দিকে,একই দিকে,D
1921,A ⃗ × B ⃗ = B ⃗ × A ⃗ হলে তাদের মধ্যেকার কোণ কত?,π,π/3,π/4,π/2,A
1922,"দুটি ভেক্টরের স্কেলার গুণফল 18 একক। তাদের ভেক্টর গুণফল 6√3 একক হলে, তাদের মধ্যেকার কোণ কত?",60°,45°,90°,30°,D
1923,সমান্তরালিকের দুটি সন্নিহিত বাহু P ⃗ = 4i ̂ – 4j ̂ + k ̂ এবং Q ⃗ = 2i ̂ – 2j ̂ – k ̂ হলে এর ক্ষেত্রফল কত?,6.5 বর্গ একক,7.5 বর্গ একক,8.5 বর্গ একক,9.5 বর্গ একক,C
1924,"a ⃗ = i ̂ + 2j ̂ + k ̂ এবং b ⃗ = 3i ̂ + j ̂ + 4k ̂ দুটি ভেক্টর রাশি হলে, |2a ⃗ – b ⃗| = কত?",12,13,14,15,C
1925,"যদি r ⃗ = xi ̂ + yj ̂ + zk ̂ হয়, তবে ∇ ⃗.r ⃗ কত?",3,0,1,2,A
1926,"একটি ভেক্টর F ⃗ অচলনশীল হয়, যদি:",∇ ⃗ × F ⃗ ≠ 0,∇ ⃗.F ⃗ = 0,∇ ⃗ × F ⃗ = 0,∇ ⃗.F ⃗ ≠ 0,C
1927,"একটি বস্তুকে সমান মানের বল দিয়ে পূর্বদিকে, তবে একই মানের বল দিয়ে দক্ষিণ দিকে টানা হচ্ছে। ফলিত বল পশ্চিম দিকের সাথে কত কোণ উৎপন্ন করবে?",90°,45°,135°,22.5°,C
1928,A ⃗ = i ̂ + 2j ̂ + 2k ̂ এবং B ⃗ = 3i ̂ + 2j ̂ – k ̂ হলে A ⃗ এর উপর B ⃗ এর অভিক্ষেপ কত?,5-Mar,3-May,3-Feb,2-Mar,A
1929,কোন গ্যাসীয় পদার্থের আয়তন V। ∇ ⃗V অবনত্যক হলে:,ঘনত্ব ও আয়তন দুটোই বৃদ্ধি পায়,"ঘনত্ব কমে, আয়তন বৃদ্ধি পায়",ঘনত্ব ও আয়তন দুটোই কমে যায়,আয়তন কমে কিন্তু ঘনত্ব বৃদ্ধি পায়,C
1930,অবস্থান ভেক্টর r ⃗ = xi ̂ + yj ̂ + zk ̂ হলে ∇ ⃗.r ⃗ =,3,2,2I,3i,A
1931,নিচের চিত্রে 50 N বলে দিকে মোট অভিক্ষেপিক বল কত?,25 N,40 N,50 N,20 N,C
1932,সমকোণে ক্রিয়াশীল দুটি ভেক্টরের ফলিতের মান রাশিদ্বয়ের:,যোগফলের বর্গমূলের সমান,যোগফলের সমান,পার্থক্যের সমান,কোনটিই নয়,A
1933,"দুটি বল, যার একটি 10 N বিশিষ্ট এবং বলদ্বয় 120° কোণে ক্রিয়া করলে ফলিতের মান উল্লেখিত বলটির সমান হয়, অপর বলটির মান কত?",20 নিউটন,0 অথবা 10 নিউটন,15 নিউটন,5 নিউটন,B
1934,A ⃗ + B ⃗ + C ⃗ = 0 ভেক্টরদ্বয়ের সম্পর্কটিকে কোন চিত্রটি প্রকাশ করে?,ত্রিভুজ,সমান্তরালিক,বর্গ,কোনটিই নয়,A
1935,"O বিন্দুতে P ⃗ এবং Q ⃗ ভেক্টরদ্বয় ক্রিয়াশীল। তাদের ফলিত ভেক্টর R ⃗। P ⃗ এবং Q ⃗ এর মধ্যেকার কোণ α এবং R ⃗ এবং P ⃗ এর মধ্যেকার কোণ θ। α = 180° হলে, θ = 180° হবে যখন:",P ⃗ > Q ⃗,Q ⃗ > P ⃗,P ⃗ = Q ⃗,কোনটিই নয়,C
1936,একটি বস্তুর আদিবেগ (3i ̂ + 4j ̂) এবং ত্বরণ (0.4i ̂ + 0.3j ̂) হলে 10 s পরে বস্তুর দ্রুতি কত?,10,7,7√2,10√2,D
1937,A ⃗ এবং B ⃗ ভেক্টরদ্বয় পরস্পর লম্ব হলে নিচের কোনটি সত্য হবে?,|A ⃗ + B ⃗| > |A ⃗ – B ⃗|,|A ⃗ + B ⃗| < |A ⃗ – B ⃗|,|A ⃗ + B ⃗| = |A ⃗ – B ⃗|,উপরের সব কটি হতে পারে,C
1938,"A ⃗ = 3i ̂ + j ̂ – 2k ̂ এবং B ⃗ = i ̂ + 3j ̂ + 2k ̂ হলে, |AB ⃗| কত?",2√6,2√2,6,2,A
1939,"যদি F ⃗ = 8i ̂ + 2j ̂ এবং r ⃗ = 6i ̂ + 8k ̂ হয়, তবে F ⃗.r ⃗ কত হবে?",48,16,32,64,A
1940,"যদি A ⃗ = – B ⃗ হয়, তবে A ⃗ × B ⃗ এর মান কত?",A²,1,0,–A²,C
1941,দুটি সমান্তরাল ভেক্টর A ⃗ = 3i ̂ – 2j ̂ + 4k ̂ এবং B ⃗ = 12i ̂ + mj ̂ + 16k ̂ হলে m = ?,4,–4,8,–8,D
1942,"যদি 2i ̂ + 3j ̂ + k ̂ এবং – 4i ̂ – 6j ̂ – λk ̂ দুটি ভেক্টর পরস্পর সমান্তরাল হয়, তাহলে λ-এর মান কত হবে?",2,–2,8,–8,B
1943,কোনটি Y-অক্ষের উপর লম্ব হবে?,(i ̂ × j ̂) × i ̂,(i ̂ × j ̂) × k ̂,(j ̂ × i ̂) × j ̂,(k ̂ × j ̂) × k ̂,B
1944,"অবস্থান ভেক্টর r ⃗ হলে, এর ডাইভারজেন্স কত?",1,2,3,4,C
1945,নিচের কোনটির ক্ষেত্রে ∇ ⃗.v ⃗ = 0 সত্য?,সবগুলোই সত্য,কোনটিই নয়,v ⃗ = xi ̂ + yj ̂ + zk ̂,v ⃗ = xi ̂ + yj ̂,B
1946,F = 8i ̂ – 2j ̂ এবং r = 6i ̂ + 8k ̂ হলে F.r এর মান কত হবে?,48,32,8,6,A
1947,A ⃗ = i ̂ + 2j ̂ এবং B ⃗ = ai ̂ – 2j ̂ দুটি ভেক্টর। ‘a’ এর মান কত হলে ভেক্টরদ্বয় পরস্পরের উপর লম্ব হবে?,7,8,3,12,C
1948,যদি |A ⃗ + B ⃗| = |A ⃗ – B ⃗| হয় তবে A ⃗ এবং B ⃗ এর মধ্যেকার কোণ হবে:,0,π/3,π/4,π/2,D
1949,"যদি A ⃗ = –6/7 i ̂ + 3/7 j ̂ + 2/7 k ̂ হয়, তবে A ⃗ এর মান:",7,–7,1,–1,C
1950,মান শূন্য নয় এ রকম একটি ভেক্টরকে তার মান দিয়ে ভাগ করলে কী পাওয়া যায়?,নাল ভেক্টর,অবস্থান ভেক্টর,একক ভেক্টর,সমতলীয় ভেক্টর,C
1951,দুটি ভেক্টর P ⃗ এবং Q ⃗ এর স্কেলার গুণন 0 হলে:,P ⃗ এবং Q ⃗ একে অপরের উপর লম্ব,P ⃗ এবং Q ⃗ একই দিকে দিকে নির্দেশ করে,P ⃗ এবং Q ⃗ বিপরীত দিকে দিকে নির্দেশ করে,কোনটিই নয়,A
1952,A এবং B ভেক্টরদ্বয় কখন A.B = –AB হবে?,ভেক্টরদ্বয় সমান্তরাল এবং একই দিকে,ভেক্টরদ্বয় সমান্তরাল কিন্তু বিপরীতমুখী,ভেক্টরদ্বয় পরস্পর লম্ব,কোনটিই নয়,B
1953,"যদি P ⃗ = 2i ̂ + j ̂ – 3k ̂ এবং Q ⃗ = 4j ̂ – k ̂ হয়, তবে তাদের স্কেলার গুণন কী হয়?",7,2,9,11,A
1954,কোন ভেক্টরটি A ⃗ = 4i ̂ + 3j ̂ এর উপর লম্ব?,3i ̂ + 4j ̂,6i ̂,7k ̂,4i ̂ – 3j ̂,A
1955,i ̂ – j ̂ এবং j ̂ – k ̂ এদের মধ্যেকার কোণ:,0°,45°,90°,120°,C
1956,কোনো বৈদ্যুতিক ক্ষেত্রে E ⃗ এর উপাংশ স্থানাঙ্কের সমান হলে H বিন্দুতে ∇ ⃗ . E ⃗ = ?,6,3,5,4,B
1957,"যদি A ⃗, B ⃗ এবং C ⃗ তিনটি ভেক্টর রাশি এবং C ⃗ = A ⃗ × B ⃗ হয়, তাহলে C ⃗ এর দিক হবে:",A ⃗ এর দিকে,B ⃗ এর দিকে,A ⃗ এবং B ⃗ দুটিরই লম্ব (perpendicular) দিকে,A ⃗ এবং B ⃗ দুটিরই সমান্তরাল (parallel) দিকে,C
1958,A ⃗ এবং B ⃗ দুটি ভেক্টর রাশি হলে কোনটি সঠিক?,A ⃗ × B ⃗ = B ⃗ × A ⃗,A ⃗ × B ⃗ = – B ⃗ × A ⃗,কোনটিই নয়,I,B
1959,"|A ⃗.B ⃗| = |A ⃗ × B ⃗| হলে, A ⃗ এবং B ⃗ এর মধ্যকার কোণ কত?",π,π/4,π/6,2π,B
1960,একক ভেক্টর (Unit vector) এর ক্ষেত্রে কোন সমীকরণটি সঠিক?,i ̂ × j ̂ = 1,i ̂ × j ̂ = 0,i ̂ × j ̂ = k ̂,i ̂ × j ̂ = – 1,C
1961,A ⃗ এবং B ⃗ ভেক্টরদ্বয়ের লম্ব দিকে একক ভেক্টরের রাশিমালা:,η ̂ = A ⃗ × B ⃗ / |A ⃗ × B ⃗|,η ̂ = A ⃗ × B ⃗ / |A ⃗ . B ⃗|,η ̂ = A ⃗ . B ⃗ / |A ⃗ × B ⃗|,η ̂ = A ⃗ . B ⃗ / |A ⃗ . B ⃗|,A
1962,একটি সমান্তরালিকের ক্ষেত্রফল:,|A ⃗ × B ⃗|,|A.B|,AB,কোনটিই নয়,A
1963,কোনটি স্কেলার রাশি?,সরণ,বল,ত্বরণ,ঘনত্ব,D
1964,দুটি বল সমান্তরালে সংঘটিত হলে ফলিতের মান শূন্য হবে:,0°,90°,120°,180°,D
1965,দুটি ভেক্টর রাশি পরস্পর কত ডিগ্রী কোণে ক্রিয়া করলে তাদের স্কেলার গুণফল এবং ভেক্টর গুণফলের মান সমান হবে?,0°,45°,90°,180°,B
1966,দুটি ভেক্টরের স্কেলার গুণফল 20 এবং ভেক্টর গুণফল 6√2। ভেক্টরদ্বয়ের মধ্যেকার কোণ হবে:,60°,90°,30°,120°,C
1967,P ⃗ = 2i ̂ + j ̂ – 2k ̂ এবং Q ⃗ = 5i ̂ – 4j ̂ + k ̂ হলে P এবং Q এর মধ্যেকার কোণ:,50.5°,65.7°,77.9°,78.12°,A
1968,অবস্থানের সাপেক্ষে কোনো স্কেলার ক্ষেত্রের সর্বোচ্চ পরিবর্তনের হার এই ক্ষেত্রের:,ডিফারেনশিয়েশন,দেল,ডাইভারজেন্স,গ্রেডিয়েন্ট,D
1969,"r ⃗ = 2ti ̂ + 3t³j ̂, t = 2 sec সময়ে বস্তুর ত্বরণ হবে:",36 একক,9 একক,10 একক,20 একক,A
1970,y এর মান কত হলে A ⃗ = 2i ̂ – 3j ̂ + k ̂ এবং B ⃗ = 4i ̂ – 6j ̂ + yk ̂ পরস্পর সমান্তরাল হবে?,2,–2,8,–4,A
1971,B ⃗ এর দিকে A ⃗ এর লম্ব অভিক্ষেপ কোনটি?,B cosθ,A cosθ,B sinθ,A sinθ,D
1972,দুটি ভেক্টর রাশি পরস্পর সমান্তরাল হলে কোনটি সঠিক?,A ⃗ × B ⃗ = 0,A ⃗.B ⃗ = 0,|A ⃗ × B ⃗| = 0,|A ⃗.B ⃗| = 0,A
1973,"অবস্থান ভেক্টর r ⃗ = 3xi ̂ – 2yj ̂ + 4zk ̂ হলে, ∇ ⃗.r ⃗ = ?",9,5,10,12,A
1974,সুনিম নদীতে স্রোতের বেগ 3 kmh–1। এক ব্যক্তি 5 kmh–1 বেগে নৌকা চালাতে সক্ষম। নদীর প্রস্থ 0.5 km। স্রোতের সঙ্গে কত ডিগ্রী কোণে নৌকা চালালে তিনি 12 min এ নদীর অপর পাড়ে একটি নির্দিষ্ট ঘাটে পৌঁছাতে পারবে?,30°,50°,45°,59°,C
1975,একটি কণার অবস্থান ভেক্টর (5i ̂ + 3j ̂ + k ̂) m। তার উপর (–3i ̂ + 7j ̂) N বল প্রয়োগ হলে টর্কের মান কত Nm?,40.65,44.65,34.65,54.65,B
1976,2A ⃗ এবং A ⃗ ভেক্টরদ্বয় পরস্পরের সঙ্গে একটি নির্দিষ্ট কোণে আনত। প্রথম ভেক্টরকে দ্বিগুণ করলে ফলিতের মান তিনগুণ বৃদ্ধি পায়। ভেক্টরদ্বয়ের অন্তর্ভুক্ত কোণ কত?,180°,90°,45°,0°,B
1977,কোনটি স্কেলার/অদিক রাশি?,সরণ,দৈর্ঘ্য,বেগ,বল,B
1978,স্কেলার রাশি কোনগুলো?,"যোগবেগ, কাজ, বেগ","শক্তি, ত্বরণ, যোগবেগ","কাজ, বেগ, শক্তি","কাজ, শক্তি, যোগবেগ",D
1979,একটি নৌকা জলের উপর নির্দিষ্ট দিকে চালিত হলে নিচের কোন রাশি নৌকাকে সামনের দিকে এগিয়ে নিয়ে যাবে?,জলের কারণে প্রয়োগ হওয়া বলের উল্লম্ব উপাংশ,প্রতিক্রিয়া বলের উল্লম্ব উপাংশ,জলের কারণে প্রয়োগ হওয়া বলের অনুভূমিক উপাংশ,প্রতিক্রিয়া বলের অনুভূমিক উপাংশ,C
1980,নিচের কোনটি স্কেলার গুণনের উদাহরণ?,কাজ,বল,টর্ক,কৌণিক ভরবেগ,A
1981,A ⃗.B ⃗ = 0 হলে কোনটি সঠিক?,A ⃗ এবং B ⃗ পরস্পর লম্ব,A ⃗ = 0,A ⃗ এবং B ⃗ পরস্পর সমান্তরাল,B ⃗ = 0,A
1982,"A ⃗, B ⃗ দুটি ভেক্টর পরস্পর লম্ব, যখন:",A ⃗.B ⃗ = 0,A ⃗ × B ⃗ = 0,A ⃗ = 0,B ⃗ = 0,A
