id,question,A,B,C,D,topic,question_type
1381,A solar cell is a-,Analog device,Digital device,Electronic device,An electric motor,Semiconductor Physics,Definition
1382,15 watts of power means -,15 Joules of work in 1 second,5 Joules of work in 3 seconds,3 Joules of work in 5 seconds,1 Joule of work in 15 seconds,Work and Energy,Definition
1383,In two current-carrying wires; currents I1 and I2 are flowing in opposite directions. They-,feel no force,will attract each other,will repel each other,None of these,Magnetism,Theoretical
1384,The amount of magnetic field at the center of a bar magnet is -,Average,Minimum,Zero,Maximum,Magnetism,Theoretical
1385,Due to which property does blotting paper absorb water?,Action of viscosity,Action of surface energy,Action of surface tension,Capillary action,Fluid Mechanics,Application
1386,For an ideal gas; if Cp/Cv = x; which of the following relations is correct for one mole?,Cv=(x-1)R,Cv=R/(x-1),Cv=R/(x-1),Cv=R/X-1,Thermodynamics,Mathematical
1387,The equation for the total energy of an object in simple harmonic motion is-,E=1/2 Ka2,Both A and B,E=1/2 mω2a2,None of these,Oscillations,Definition
1388,In the YZ-plane,√25,√34,√41,√50,Miscellaneous,Miscellaneous
1389,On what does the half-life of a radioactive element depend?,Nature of the element,Amount of the element,Temperature,Pressure,Nuclear Physics,Theoretical
1390,What is the ratio of reverse to forward resistance of Si?,40000 : 1,1000000∶1,100000∶1,4000∶1,Semiconductor Physics,Theoretical
1391,The velocities of three gas molecules are 25 ms-1; 30ms-1 and 35 ms-1 respectively. What is their root mean square velocity?,10.5ms-1,15.5ms-1,20.3ms-1,30.3ms-1,Kinetic Theory,Mathematical
1392,Which of the following is the correct order of penetrating power?,γ > β > α,α > β > γ,β > γ > α,α > γ > β,Nuclear Physics,Comparison
1393,If the ratio of the periods of oscillation is 2:3; what will be the ratio of the effective lengths?,3:04,3:02,2:03,4:09,Oscillations,Mathematical
1394,A boy throws a ball at a speed of 40 m/s at an angle of 30° with the horizontal. How many meters away will the ball land on the ground?,141,71,138,61,Kinematics,Mathematical
1395,If work is done by the gas —,volume increases,mass increases,temperature remains constant,mass decreases,Thermodynamics,Theoretical
1396,If the relative velocity of a gas is high; what change will occur in its state of acceleration?,will be zero,will remain unchanged,will increase,will decrease,Fluid Mechanics,Reasoning
1397,If the mass of the bob of a simple pendulum at a certain place is made 4 times while keeping its effective length unchanged; its period will-,become 2 times,become 4 times,remain unchanged,become 1/4 times,Oscillations,Reasoning
1398,Which of the following phenomena occurs in a nuclear reactor?,Nuclear fusion,Making of atomic bombs,All of them,Nuclear fission,Nuclear Physics,Theoretical
1399,A car is moving at a speed of 10 ms-1. At what speed must it move for its kinetic energy to be doubled?,12 ms-1,40 ms-1,20 ms-1,14 ms-1,Work and Energy,Mathematical
1400,Which force is responsible for binding protons and neutrons?,Strong nuclear force,Gravitational force,Weak nuclear force,Electromagnetic force,Nuclear Physics,Theoretical
1401,When we see an object; the image formed on the retina is-,Erect,Real,Virtual,Real and inverted,Ray Optics,Theoretical
1402,To see the rear view of a car; the driver has a-,Concave mirror,Convex mirror,Plane mirror,Parabolic mirror,Ray Optics,Application
1403,The area under the velocity vs time graph represents,Acceleration,Speed,Change of velocity,Magnitude of displacement,Kinematics,Graphical
1404,On the bank of which river is Sylhet located?,Arial Khan,Surma,Chandana,Rupsa,Miscellaneous,Miscellaneous
1405,A particle revolves 100 times per minute on a 2m circular path. What is its linear velocity?,125.68 m/min,1256.8 m/min,12.568 m/min,1.2568 m/min,Rotational Motion,Mathematical
1406,If a 40W and a 60W bulb are connected in series; which bulb will glow brighter?,40W bulb,60W bulb,Both will have equal brightness,None of them,Current Electricity,Reasoning
1407,The velocities of three gas molecules are 25 ms-1; 30 ms-1 and 35 ms-1 respectively. What is their root mean square velocity?,17.5 ms-1,30ms-1,30.3ms-1,90.7ms-1,Kinetic Theory,Mathematical
1408,What is the velocity of a particle at the node of a stationary wave?,Zero,Maximum,Minimum but not zero,None of these,Waves,Theoretical
1409,Which of the following is Kepler's 3rd law?,Law of areas,Harmonic law,Law of orbits,Law of periods,Gravitation,Theoretical
1410,What is a postulate?,Mathematical logic,Provider of the basis of a theory,Proven in scientific experiments,Summary of an experiment,Miscellaneous,Definition
1411,If 10^3 j of heat energy is supplied to a Carnot engine operating between 27°C and 127°C; how much heat energy can the engine supply?,500j,250j,750j,None of these,Thermodynamics,Mathematical
1412,Two parallel slits separated by a distance s are illuminated by monochromatic light and an interference pattern is obtained on a screen at a distance D from the slits. If the fringe width is x; what will be the fringe width if both S and D are doubled?,x/2,x,2x,4x,Wave Optics,Mathematical
1413,When a car is moving; a thermodynamic process takes place inside its tires. This process is—,Isothermal process,Adiabatic process,Isochoric process,Isobaric process,Thermodynamics,Application
1414,Which capacitor is available at a very low price?,Variable capacitor,Mica capacitor,Paper capacitor,Electrolytic capacitor,Miscellaneous,Miscellaneous
1415,A dancer is spinning with a moment of inertia I at an angular velocity of 20 rads-1 around a vertical axis. If she suddenly changes her angular velocity to 10 rads-1; what will be the new moment of inertia?,2 I,I / 2,3 I,I / 3,Rotational Motion,Mathematical
1416,What should be the phase difference between two particles in simple harmonic motion for them to be in the same phase?,π/2,(2n+1)π,2π,π,Oscillations,Theoretical
1417,A disc of mass M and radius R is rotating about an axis passing through its center. What is the moment of inertia of the disc?,MR2,2MR,1/2MR2,3/2MR2,Rotational Motion,Theoretical
1418,The root mean square value of an alternating current is how many times the peak value?,70.70%,63.70%,63%,70%,Alternating Current,Theoretical
1419,The speed of light c is equal to which of the following?,3 x 108 cm/s,3 x 108 m/s,3 x 103 m/s,3 x 103 cm/s,Electromagnetic Waves,Theoretical
1420,In the case of simple harmonic motion; the characteristic of the force is-,The magnitude of the force is inversely proportional to the displacement from the equilibrium position,The force is always directed towards a fixed point,Always rotating,The force will be linear,Oscillations,Theoretical
1421,A person weighing 110 Ib runs up a 10 ft high staircase in 5 seconds. What is the person's horsepower?,0.6 HP,0.8 HP,0.4 HP,0.3 HP,Work and Energy,Mathematical
1422,Three capacitors of capacitance 1μF; 2μF; and 4μF are connected in series. Their equivalent capacitance will be-,7 μF,2.63 μF,1.75 μF,0.57 μF,Electrostatics,Mathematical
1423,Why does a cyclist have to lean towards the center of the turn?,For centrifugal force,For angular velocity,For linear velocity,For centripetal force,Laws of Motion,Reasoning
1424,Einstein's rest mass-energy equation is–,E0 = m0c2,E = hυ,E0 = mc2,E = mc2,Relativity,Theoretical
1425,A particle at the end of a 50 ft long string is rotating at a constant speed of 50 ft/s. What is the magnitude of the centripetal acceleration on the particle?,200 ft/s2,50ft/s2,10ft/s2,25ft/s2,Kinematics,Mathematical
1426,The degree of freedom for a polyatomic gas is-,2,3,5,6,Kinetic Theory,Theoretical
1427,What is the S.I. unit of magnetic field?,Gauss,Wbm−2,Tm−2,Tm,Magnetism,Definition
1428,The force constant of a spring is 10 Nm-1. If it comes to its normal state from a compressed state of 1 m; what will be the work done by the spring force?,- 10 J,- 5J,0 J,5 J,Work and Energy,Mathematical
1429,Which of the following is an example of a diamagnetic material?,Superconductor,Alkali material,Transition metal,Ferrite,Magnetism,Theoretical
1430,The wavelength of each of two waves in the same phase is 6000×10-10m. If the phase difference between them is 6π; what is the path difference between the two end points?,6000A,1200A,1800A,None of these,Waves,Mathematical
1431,The capacitance of a conductor is 40 F. How much charge should be given to it to raise its potential to 10 V?,400 C,320 C,410 C,380 C,Electrostatics,Mathematical
1432,If the magnetic field at a distance of 2cm from a long straight current-carrying wire is 10-6T; what is the amount of current flowing through the wire?,0.01A,0.1A,1A,10A,Magnetism,Mathematical
1433,The value of the angle of minimum deviation does not depend on which of the following?,Color of the incident light,Surrounding medium,Material of the prism,Area of the prism,Ray Optics,Theoretical
1434,What is the difference in wavelength between red and violet light on the meter scale?,4.75×10-7m,5.25×10-7m,2.35×10-7m,3.55×10-7m,Wave Optics,Theoretical
1435,What is the dimension of angular frequency?,M0LT,M0L0T-1,M0L-1T,M0LT-1,Units and Dimensions,Theoretical
1436,Which device works on the principle of induction?,Motor,Transformer,Generator,Transistor,Electromagnetic Induction,Application
1437,If the time period is T; which of the following is the average current for a half cycle?,1/π × maximum value of alternating current,2/π × maximum value of alternating current,3/π × maximum value of alternating current,4/π × maximum value of alternating current,Alternating Current,Theoretical
1438,If the temperature of a transistor increases; then-,Resistance increase,Resistance decrease,Capacitance increase,Capacitance decrease,Semiconductor Physics,Theoretical
1439,What concept can be understood from Newton's first law?,Motion,Acceleration,Velocity,Force,Laws of Motion,Theoretical
1440,Doping a pure semiconductor with a pentavalent impurity creates-,n-type semiconductor,p-type semiconductor,conductor,superconductor,Semiconductor Physics,Theoretical
1441,What is the scalar product of the vectors →A=3ˆi+5ˆj−2ˆkand→B=2ˆj−5ˆi+7ˆk?,19,-19,20,23,Vectors,Mathematical
1442,A resistor is colored yellow; violet; and orange respectively. What is its resistance value?,13 KΩ,33 KΩ,47 KΩ,69 KΩ,Current Electricity,Application
1443,A current of 5A in a coil of 100 turns produces a magnetic flux of 0.01 Wb. The self-inductance of the coil is-,5.0 H,0.2 H,0.5 H,2.0 H,Electromagnetic Induction,Mathematical
1444,If an object is thrown at an angle of 45° with the horizontal at a speed of 9.8 ms-1; how far will it land,19.6 m,9.8 m,10 m,1m,Kinematics,Mathematical
1445,If relative humidity is low; evaporation will be-,slow,fast,very slow,will remain constant,Thermodynamics,Reasoning
1446,While testing the electromotive force of two electric cells with a potentiometer; the electromotive forces for the 1st and 2nd cells were found to be 1.5Volt and 2Volt respectively. If the balancing point for the 2nd cell is 4m; then for the first cell it will be-,3m,6m,12m,9m,Current Electricity,Mathematical
1447,A truck's weight is twice that of a car; and the truck is moving at twice the speed of the car. Which is true for the kinetic energy of the truck compared to the car?,The truck's kinetic energy is greater - only this can be said,The truck's kinetic energy is 8 times greater than the car's,The truck's kinetic energy is 4 times greater than the car's,The truck's kinetic energy is twice as much as the car's,Work and Energy,Comparison
1448,The image formed by a convex mirror is always -,Real and erect,Virtual and erect,Real and inverted,Virtual and erect,Ray Optics,Theoretical
1449,89X232 →ZY232 + β ray; What is the value of Z?,87,88,89,90,Nuclear Physics,Mathematical
1450,At a constant temperature; which parameter is constant for all gas molecules?,mass,kinetic energy,volume,velocity,Kinetic Theory,Theoretical
1451,A satellite is revolving at a speed of 8 km s-1 at a certain height from the earth's surface; where the acceleration due to gravity is gh = 8 ms-2. Determine the height of the satellite from the Earth's surface.,1600 km,400km,14400km,8000km,Gravitation,Mathematical
1452,If the self-inductance of a coil with a radius of 0.1m is 0.002H; what will be the number of turns in the coil?,200,400,300,100,Electromagnetic Induction,Mathematical
1453,If two points 12cm and 20cm in front of a concave mirror are considered conjugate foci; what will be the focal length of the mirror?,5.7cm,7.5cm,16cm,None of these,Ray Optics,Mathematical
1454,Due to which property do water droplets become spherical?,Elasticity,Viscosity,Capillarity,Surface tension,Fluid Mechanics,Theoretical
1455,In a circuit; which is always connected in reverse bias?,Emitter and Collector,Base and Emitter,Collector and Base,Collector and Base,Semiconductor Physics,Theoretical
1456,The correct translation of 'Don't build castle in the air.' is-,Don't build a palace of air,Don't have baseless fantasies,Don't think about sky and underworld,Don't build castles in the air,Miscellaneous,Miscellaneous
1457,In reality; what is the maximum possible efficiency of an engine?,25%,100%,20%,50%,Thermodynamics,Theoretical
1458,What will be the area of a circular field with a 60m radius as observed by a passenger in a rocket moving at a speed of 0.6c along its diameter?,7238.23 m2,9047.79 m2,11309.733 m2,1009.8 m2,Relativity,Mathematical
1459,If a refrigerator removes 750 J of heat from the cold chamber per cycle; what will be the work done per cycle? [Coefficient of performance k = 2.5],1250j,502.5j,500j,200j,Thermodynamics,Mathematical
1460,A transformer's primary coil has 1000 turns. To step down the applied 4400V (AC) voltage in the primary coil to 220V (AC) for household use; what should be the number of turns in the secondary coil?,1000,100,500,50,Alternating Current,Mathematical
1461,Which law is used to make a thermometer?,Zeroth,First,Second,None of these,Thermodynamics,Theoretical
1462,"60W, 120V is written on the body of a bulb. What is its resistance?",60?,120?,180?,240?,Current Electricity,Mathematical
1463,The sound of thunder was heard 6s after seeing the light. If the air temperature is 30°C; what is the distance of the cloud? The increase in the speed of sound in air per degree Celsius increase in temperature is 0.6ms-1.,1800m,2100m,1900m,1892m,Waves,Mathematical
1464,The gravitational force is effective due to the exchange of which particle?,Graviton,Meson,Photon,Neutrino,Gravitation,Theoretical
1465,Which of the following is not a characteristic of gravitational force?,Conservative force,Does not depend on the medium,Repulsive or attractive,Very weak force,Gravitation,Theoretical
1466,Two conjugate foci are located at 0.15m and 0.10m in front of a concave mirror. What will be the focal length of the mirror?,6cm,8cm,6.5cm,5.6cm,Ray Optics,Mathematical
1467,The dimension of electric potential is-,ML2T-3A-1,MLTA,MLT-3A-1,ML-1T-1A,Units and Dimensions,Definition
1468,If 1011.1 is divided by 10.101; the remainder will be -,1,10,100,1000,Miscellaneous,Miscellaneous
1469,For which of the following reasons does the acceleration due to gravity g not change?,Effect of altitude,Effect of shape,Effect of length,Effect of Earth's rotation,Gravitation,Reasoning
1470,If the energy equivalent to a mass of 10 a.m.u is expressed in eV units; which of the following will it be?,9.34X 10^9,93.4X 10^9,9.34X 10^8,None of these,Nuclear Physics,Mathematical
1471,A man can throw a stone vertically up to a maximum height of h m. What is the maximum horizontal distance he can throw it?,h/2 m,h m,2h m,3h m,Kinematics,Mathematical
1472,The efficiency of a Carnot engine is 45%. If the temperature of the source is 300 K; what is the temperature of the sink?,160K,165K,150K,135K,Thermodynamics,Mathematical
1473,Which is not a fundamental quantity in Newtonian or classical mechanics?,Space,Time,Velocity,Mass,Units and Dimensions,Theoretical
1474,An object is thrown vertically upwards with a velocity of 196 m/s. What is the maximum height it will reach?,1960 m,2 km,980 m,1 km,Kinematics,Mathematical
1475,The refractive index of a medium does not depend on what?,Nature of the two media,Optical density of the medium,Color of light,Angle of incidence,Ray Optics,Theoretical
1476,Who is the leader of the country's legislature?,Speaker,Prime Minister,President,Law Minister,Miscellaneous,Miscellaneous
1477,What is the pair of metals used to create a thermoelectric current called?,Thermocouple,Metal couple,Current couple,Electric couple,Current Electricity,Definition
1478,What is the value of the angle of contact for glass and pure water?,193°,0°,approax 8°,not more than 90°,Fluid Mechanics,Definition
1479,Which quantities have corrections in the van der Waals equation?,P and T,P and V,V and T,"P, V and T",Kinetic Theory,Theoretical
1480,An object is projected into the void with a velocity of 9.8m/s and at a projection angle of 45°. What is its range?,1m,3.13m,9.8m,96m,Kinematics,Mathematical
1481,When a parallel wavefront is incident on a narrow slit of a barrier; diffraction occurs. For which combination of wavelength and slit will the diffraction be maximum?,Large wavelength and narrow slit,Small wavelength and narrow slit,Small wavelength and wide slit,Large wavelength and wide slit,Wave Optics,Reasoning
1482,Which phenomenon occurs in transverse waves but not in longitudinal waves?,Reflection,Refraction,Polarization,Superposition,Waves,Comparison
1483,Due to which of the following can light waves be polarized?,High frequency,Short wavelength,Transverse wave,Longitudinal wave,Wave Optics,Theoretical
1484,One light year in vacuum is equal to,Equal to the circumference of the Earth,400 years,9.46×1012 km,1019\u200c miles,Units and Dimensions,Definition
1485,Which of the following is still mysterious?,Length contraction,Time dilation,Contraction of the universe,Relativity of mass,Miscellaneous,Miscellaneous
1486,Where is the Earth's magnetic south pole located?,On the Boothia Peninsula,On the equator,In Antarctica,In Victoria,Magnetism,Theoretical
1487,What force is required to increase the length of a steel wire with a cross-sectional area of 1 mm2 by 1.5%? {Y=2X1011 Nm-2},2X104N,104 N,3X103 N,15X104N,Properties of Matter,Mathematical
1488,Which is a secondary cell?,Voltaic cell,Leclanche cell,Dry cell,Alkaline storage cell,Current Electricity,Theoretical
1489,For which set of masses and distances is the gravitational force between them the minimum?,"3m, 2m, r","4m, 4m, 2r","m, 5m, 1.5 r","3m, 3m, 2.5 r",Gravitation,Comparison
1490,What does a wave transfer from one place to another?,Mass,Amplitude,Wavelength,Energy,Waves,Definition
1491,The half-life of Radon is 4 days. What is its mean life?,3.77d,4.77d,5.77d,8.77d,Nuclear Physics,Mathematical
1492,Which is not an electromagnetic wave?,Radio Wave,Microwave,X-ray,Ultrasound,Electromagnetic Waves,Theoretical
1493,What is the area around a charged object where its influence is felt called?,Electric flux,Potential difference,Electric field,Electric potential,Electrostatics,Definition
1494,If three objects are in thermal equilibrium; which of the following quantities will be the same?,Mass,Potential energy,Internal energy,Temperature,Thermodynamics,Definition
1495,What is the frequency of the minute hand of a clock?,2.78 Hz,2.78 x 10-1 Hz,2.78 x 10-2Hz,2.78 x 10-4 Hz,Oscillations,Mathematical
1496,If A ⃗ = 3i ̂ + 4j ̂ and B ⃗ = 4i ̂ – 3j ̂; what is the value of A ⃗ . B ⃗?,0,12,–12,25,Vectors,Mathematical
1497,If the angle between two vectors is 90°; what is the magnitude of their vector product?,0,1,|A ⃗||B ⃗|,–1,Vectors,Theoretical
1498,A force F ⃗ = 5i ̂ + 12j ̂ N acts on a particle and the displacement is r ⃗ = 3i ̂ + 4j ̂ m. What is the work done?,63 J,48 J,60 J,75 J,Work and Energy,Mathematical
1499,If A ⃗ = 2i ̂ – j ̂ + k ̂ and B ⃗ = i ̂ + j ̂ – k ̂; then what is the value of |A ⃗ × B ⃗|?,?12,?18,?6,?24,Vectors,Mathematical
1500,Two forces of 10 N and 10 N act at an angle of 60Â°. What is the magnitude of the resultant force?,10 N,17.32 N,15 N,20 N,Vectors,Mathematical
1501,What is the unit vector of A ⃗ = i ̂ + j ̂ + k ̂?,(1/√3)i ̂ + (1/√3)j ̂ + (1/√3)k ̂,(1/3)i ̂ + (1/3)j ̂ + (1/3)k ̂,(1/√3)i ̂ – (1/√3)j ̂ + (1/√3)k ̂,(1/√3)i ̂ + (1/√3)j ̂ – (1/√3)k ̂,Vectors,Mathematical
1502,If A ⃗ = 4i ̂ + 3j ̂ and B ⃗ = –3i ̂ + 4j ̂; what is the angle between them?,45°,90°,135°,180°,Vectors,Mathematical
1503,The sides of a parallelogram are A ⃗ = 2i ̂ + j ̂ and B ⃗ = i ̂ + 2j ̂. What is the area?,3,5,4,6,Vectors,Mathematical
1504,If A ⃗ = 3i ̂ – j ̂ + 2k ̂ and B ⃗ = i ̂ + j ̂ – k ̂; what is A ⃗ . B ⃗?,2,4,0,6,Vectors,Mathematical
1505,A force of 15 N acts on a particle at an angle of 30°. What is the component of the force on the X-axis?,12.99 N,7.5 N,15 N,10 N,Vectors,Mathematical
1506,If A ⃗ = 2i ̂ + 2j ̂ – k ̂ and B ⃗ = i ̂ – j ̂ + k ̂; what is A ⃗ × B ⃗?,i ̂ – 3j ̂ – 4k ̂,3i ̂ + j ̂ – 4k ̂,i ̂ + 3j ̂ + 4k ̂,3i ̂ – j ̂ + 4k ̂,Vectors,Mathematical
1507,The resultant of two vectors A ⃗ and B ⃗ is R ⃗ = A ⃗ + B ⃗. If |R ⃗| = |A ⃗ – B ⃗|; what is the angle?,0°,45°,90°,180°,Vectors,Mathematical
1508,If A ⃗ = 5i ̂ – j ̂ and B ⃗ = –i ̂ + 5j ̂; what is |A ⃗ – B ⃗|?,√72,√48,√24,√96,Vectors,Mathematical
1509,A vector has a magnitude of 6 and is inclined at an angle of 30° with the X-axis. What is its X-component?,5.2,3,6,4,Vectors,Mathematical
1510,If A ⃗ = 2i ̂ + j ̂ – k ̂ and B ⃗ = i ̂ + 2j ̂ + k ̂; what is |A ⃗ + B ⃗|?,√18,√14,√10,√12,Vectors,Mathematical
1511,Two forces of 20 N and 20 N act on a particle at an angle of 120°. What is the magnitude of the resultant force?,20 N,34.64 N,40 N,30 N,Vectors,Mathematical
1512,If A ⃗ = 3i ̂ + j ̂ and B ⃗ = i ̂ + 3j ̂; what is A ⃗ × B ⃗?,8 k ̂,–8 k ̂,10 k ̂,–10 k ̂,Vectors,Mathematical
1513,If the angle between two vectors is 180°; what is A ⃗ × B ⃗?,0,|A ⃗||B ⃗|,1,–1,Vectors,Theoretical
1514,If A ⃗ = 3i ̂ + 3j ̂ and B ⃗ = –3i ̂ – 3j ̂; what is A ⃗ . B ⃗?,0,18,–18,9,Vectors,Mathematical
1515,The displacement of a particle is r ⃗ = 2i ̂ + j ̂ – k ̂ m and the force is F ⃗ = i ̂ – j ̂ + k ̂ N. What is the work done?,0 J,2 J,4 J,–2 J,Work and Energy,Mathematical
1516,If A ⃗ = 4i ̂ + j ̂ and B ⃗ = –j ̂ + 4i ̂; what is the angle between them?,45°,90°,135°,180°,Vectors,Mathematical
1517,The sides of a parallelogram are A ⃗ = 4i ̂ – j ̂ and B ⃗ = i ̂ + 4j ̂. What is the area?,17,15,20,13,Vectors,Mathematical
1518,If A ⃗ = 3i ̂ + j ̂ – k ̂ and B ⃗ = i ̂ – j ̂ + k ̂; what is |A ⃗ × B ⃗|?,√12,√18,√24,√6,Vectors,Mathematical
1519,A force of 15 N acts on a particle at an angle of 60°. What is the component of the force on the Y-axis?,7.5 N,12.99 N,15 N,10 N,Vectors,Mathematical
1520,If A ⃗ = i ̂ + j ̂ + k ̂ and B ⃗ = 2i ̂ – j ̂ – k ̂; what is A ⃗ + B ⃗?,3i ̂,i ̂ + 2j ̂,3i ̂ + 2k ̂,3i ̂ – j ̂ – k ̂,Vectors,Mathematical
1521,The resultant of two vectors is R ⃗ = A ⃗ + B ⃗. If |A ⃗| = |B ⃗|; the magnitude of the resultant will be minimum when the angle is?,0°,45°,90°,180°,Vectors,Reasoning
1522,If A ⃗ = 2i ̂ + j ̂ and B ⃗ = i ̂ + 2j ̂; what is A ⃗ . B ⃗?,4,6,8,2,Vectors,Mathematical
1523,Two forces of 25 N and 25 N act on a particle at an angle of 90°. What is the magnitude of the resultant force?,35.36 N,50 N,25 N,40 N,Vectors,Mathematical
1524,If A ⃗ = 4i ̂ – j ̂ and B ⃗ = –i ̂ + 4j ̂; what is |A ⃗ – B ⃗|?,√50,√25,√75,√100,Vectors,Mathematical
1525,A vector has a magnitude of 8 and is inclined at an angle of 30° with the Y-axis. What is its Y-component?,4,6.93,8,5,Vectors,Mathematical
1526,If A ⃗ = 2i ̂ + j ̂ + k ̂ and B ⃗ = i ̂ – j ̂ + 2k ̂; what is A ⃗ × B ⃗?,3i ̂ – j ̂ – 3k ̂,i ̂ + 3j ̂ – 3k ̂,3i ̂ + j ̂ – 3k ̂,i ̂ – 3j ̂ + 3k ̂,Vectors,Mathematical
1527,The angle between two vectors is 60° and their magnitudes are 5 and 5. What is the scalar product?,12.5,25,50,37.5,Vectors,Mathematical
1528,If A ⃗ = 3i ̂ – 2j ̂ and B ⃗ = 2i ̂ + 3j ̂; what is A ⃗ . B ⃗?,0,6,–6,12,Vectors,Mathematical
1529,The sides of a parallelogram are A ⃗ = 6i ̂ and B ⃗ = 5j ̂. What is the area?,30,25,35,20,Vectors,Mathematical
1530,If A ⃗ = 3i ̂ – j ̂ + k ̂ and B ⃗ = i ̂ + 2j ̂ – k ̂; what is |A ⃗ + B ⃗|?,√18,√14,√10,√12,Vectors,Mathematical
1531,A force of 20 N acts on a particle at an angle of 60°. What is the component of the force on the Y-axis?,17.32 N,10 N,20 N,15 N,Vectors,Mathematical
1532,If A ⃗ = 2i ̂ + j ̂ and B ⃗ = i ̂ + 2j ̂; what is A ⃗ × B ⃗?,3 k ̂,–3 k ̂,5 k ̂,–5 k ̂,Vectors,Mathematical
1533,If the angle between two vectors is 0°; what is A ⃗ . B ⃗?,0,|A ⃗||B ⃗|,1,–1,Vectors,Theoretical
1534,If A ⃗ = 3i ̂ + 3j ̂ and B ⃗ = –3i ̂ – 3j ̂; what is A ⃗ . B ⃗?,0,18,–18,9,Vectors,Mathematical
1535,The displacement of a particle is r ⃗ = 3i ̂ + j ̂ – k ̂ m and the force is F ⃗ = i ̂ – j ̂ + k ̂ N. What is the work done?,1 J,3 J,0 J,–1 J,Work and Energy,Mathematical
1536,If A ⃗ = 5i ̂ + j ̂ and B ⃗ = –j ̂ + 5i ̂; what is the angle between them?,45°,90°,135°,180°,Vectors,Mathematical
1537,The sides of a parallelogram are A ⃗ = 3i ̂ – j ̂ and B ⃗ = i ̂ + 3j ̂. What is the area?,10,8,12,6,Vectors,Mathematical
1538,If A ⃗ = 2i ̂ + j ̂ – k ̂ and B ⃗ = i ̂ – j ̂ + k ̂; what is |A ⃗ × B ⃗|?,√12,√18,√24,√6,Vectors,Mathematical
1539,A force of 10 N acts on a particle at an angle of 45°. What is the component of the force on the X-axis?,7.07 N,5 N,10 N,8.66 N,Vectors,Mathematical
1540,If A ⃗ = i ̂ + j ̂ + k ̂ and B ⃗ = 2i ̂ – j ̂ – k ̂; what is A ⃗ + B ⃗?,3i ̂,i ̂ + 2j ̂,3i ̂ + 2k ̂,3i ̂ – j ̂ – k ̂,Vectors,Mathematical
1541,The resultant of two vectors is R ⃗ = A ⃗ + B ⃗. If |A ⃗| = |B ⃗|; the magnitude of the resultant will be maximum when the angle is?,0°,45°,90°,180°,Vectors,Reasoning
1542,If A ⃗ = 2i ̂ + j ̂ and B ⃗ = i ̂ + 2j ̂; what is A ⃗ . B ⃗?,4,6,8,2,Vectors,Mathematical
1543,Two forces of 30 N and 40 N act on a particle at an angle of 90°. What is the magnitude of the resultant force?,50 N,60 N,70 N,40 N,Vectors,Mathematical
1544,If A ⃗ = 5i ̂ – j ̂ and B ⃗ = –i ̂ + 5j ̂; what is |A ⃗ – B ⃗|?,√72,√48,√24,√96,Vectors,Mathematical
1545,A vector has a magnitude of 10 and is inclined at an angle of 45° with the Y-axis. What is its Y-component?,7.07,5,10,8.66,Vectors,Mathematical
1546,If A ⃗ = 3i ̂ + 2j ̂ + k ̂ and B ⃗ = i ̂ – j ̂ + 2k ̂; what is A ⃗ × B ⃗?,5i ̂ – j ̂ – 5k ̂,3i ̂ + 5j ̂ – 5k ̂,5i ̂ + j ̂ – 5k ̂,3i ̂ – 5j ̂ + 5k ̂,Vectors,Mathematical
1547,The angle between two vectors is 45° and their magnitudes are 2 and 3. What is the scalar product?,4.24,6,3,8.48,Vectors,Mathematical
1548,If A ⃗ = 4i ̂ – 2j ̂ and B ⃗ = 2i ̂ + 4j ̂; what is A ⃗ . B ⃗?,0,8,–8,16,Vectors,Mathematical
1549,The sides of a parallelogram are A ⃗ = 5i ̂ and B ⃗ = 4j ̂. What is the area?,20,15,25,10,Vectors,Mathematical
1550,If A ⃗ = 2i ̂ – j ̂ + k ̂ and B ⃗ = i ̂ + 2j ̂ – k ̂; what is |A ⃗ + B ⃗|?,√18,√14,√10,√12,Vectors,Mathematical
1551,A force of 15 N acts on a particle at an angle of 30°. What is the component of the force on the Y-axis?,7.5 N,12.99 N,10 N,15 N,Vectors,Mathematical
1552,If A ⃗ = 3i ̂ + j ̂ and B ⃗ = i ̂ + 3j ̂; then what is A ⃗ × B ⃗?,8 k ̂,–8 k ̂,10 k ̂,–10 k ̂,Vectors,Mathematical
1553,If the angle between two vectors is 180°; what is A ⃗ . B ⃗?,0,|A ⃗||B ⃗|,–|A ⃗||B ⃗|,1,Vectors,Theoretical
1554,If A ⃗ = 2i ̂ + 2j ̂ and B ⃗ = –2i ̂ – 2j ̂; then what is A ⃗ . B ⃗?,0,8,–8,4,Vectors,Mathematical
1555,The displacement of a particle is r ⃗ = 2i ̂ – j ̂ + k ̂ m and the force is F ⃗ = i ̂ + j ̂ – k ̂ N. What is the work done?,0 J,2 J,4 J,–2 J,Work and Energy,Mathematical
1556,If A ⃗ = 4i ̂ + j ̂ and B ⃗ = –j ̂ + 4i ̂; then what is the angle between them?,45°,90°,135°,180°,Vectors,Mathematical
1557,The sides of a parallelogram are A ⃗ = 4i ̂ – j ̂ and B ⃗ = i ̂ + 4j ̂. What is the area?,17,15,20,13,Vectors,Mathematical
1558,If A ⃗ = 3i ̂ + j ̂ – k ̂ and B ⃗ = i ̂ – j ̂ + k ̂; then what is |A ⃗ × B ⃗|?,√12,√18,√24,√6,Vectors,Mathematical
